depth;min95%;max95%;best;accrate
0;-71;-67;-69;7.5
0.5;-67;-64;-65;7.5
1;-63;-60;-62;7.14
1.5;-58;-56;-57;9.46
2;-54;-51;-53;8.14
2.5;-47;-43;-45;15.72
3;-39;-33;-36;18.25
3.5;-32;-23;-27;17.6
4;-24;-14;-19;16.54
4.5;-18;-6;-12;13.29
5;-11;3;-4;15.7
5.5;-4;4;0;13.77
6;-5;9;3;17.36
6.5;2;20;11;27.54
7;13;37;25;27.53
7.5;26;51;39;23.56
8;37;65;51;18.54
8.5;42;78;60;12.82
9;42;89;66;21.59
9.5;59;95;77;19.59
10;65;108;87;8.81
10.5;64;116;91;8.81
11;61;128;96;8.81
11.5;57;140;100;8.81
12;53;153;104;8.81
12.5;49;166;109;8.81
13;44;180;113;8.81
13.5;40;193;118;8.81
14;36;207;122;8.81
14.5;31;221;127;8.81
15;25;235;131;8.81
15.5;20;249;135;8.81
16;14;263;140;8.81
16.5;9;278;144;193.64
17;113;367;241;193.64
17.5;218;456;338;193.64
18;321;545;435;193.64
18.5;424;636;531;193.64
19;526;726;628;193.64
19.5;629;817;725;193.64
20;731;908;822;193.64
20.5;833;1001;919;193.64
21;935;1092;1016;193.64
21.5;1036;1183;1112;193.64
22;1139;1275;1209;193.64
22.5;1239;1367;1306;193.64
23;1340;1460;1403;193.64
23.5;1440;1553;1500;193.64
24;1540;1647;1596;193.64
24.5;1639;1743;1693;193.64
25;1737;1840;1790;193.64
25.5;1834;1940;1887;40.38
26;1855;1959;1907;40.38
26.5;1875;1978;1927;40.38
27;1896;1998;1947;40.38
27.5;1917;2017;1968;40.38
28;1938;2036;1988;40.38
28.5;1959;2055;2008;40.38
29;1980;2075;2028;40.38
29.5;2001;2094;2048;40.38
30;2021;2113;2069;40.38
30.5;2042;2133;2089;40.38
31;2063;2153;2109;40.38
31.5;2084;2173;2129;40.38
32;2105;2193;2149;40.38
32.5;2125;2212;2170;40.38
33;2146;2232;2190;40.38
33.5;2167;2252;2210;40.38
34;2187;2272;2230;40.38
34.5;2208;2292;2250;40.38
