depth;min95%;max95%;best;accrate
0;-71;-67;-69;9.91
0.5;-66;-63;-64;19.82
1;-56;-53;-54;21.48
1.5;-46;-42;-44;22.92
2;-35;-29;-32;25.15
2.5;-25;-14;-19;26.88
3;-15;3;-6;26.34
3.5;-5;19;7;26.38
4;8;34;20;35.91
4.5;20;55;38;31.31
5;36;72;54;40.75
5.5;57;93;74;57.51
6;75;131;103;51.15
6.5;101;156;129;51.15
7;127;182;154;51.15
7.5;153;207;180;51.15
8;178;233;205;51.15
8.5;204;259;231;51.15
9;229;284;257;51.15
9.5;254;310;282;51.15
10;280;335;308;51.15
10.5;305;361;333;51.15
11;330;386;359;51.15
11.5;356;413;384;51.15
12;381;439;410;51.15
12.5;406;465;436;51.15
13;432;492;461;51.15
13.5;457;518;487;51.15
14;482;545;512;51.15
14.5;507;571;538;51.15
15;532;598;563;51.15
15.5;557;624;589;51.15
16;582;651;615;51.15
16.5;607;678;640;51.15
17;631;704;666;51.15
17.5;656;731;691;51.15
18;681;757;717;51.15
18.5;706;784;742;51.15
19;730;810;768;51.15
19.5;755;837;794;51.15
20;780;864;819;51.15
20.5;805;890;845;51.15
21;830;917;870;51.15
21.5;855;943;896;51.15
22;879;970;922;51.15
22.5;904;996;947;51.15
23;929;1023;973;51.15
23.5;954;1050;998;51.15
24;978;1076;1024;51.15
24.5;1003;1103;1049;51.15
25;1028;1129;1075;51.15
25.5;1052;1156;1101;51.15
26;1077;1183;1126;51.15
26.5;1102;1210;1152;51.15
27;1127;1236;1177;51.15
27.5;1151;1263;1203;51.15
28;1176;1290;1228;51.15
28.5;1200;1317;1254;51.15
29;1225;1344;1280;51.15
29.5;1249;1370;1305;51.15
30;1274;1397;1331;51.15
30.5;1298;1424;1356;51.15
31;1323;1451;1382;51.15
31.5;1347;1478;1407;51.15
32;1372;1505;1433;51.15
32.5;1396;1532;1459;51.15
33;1421;1559;1484;51.15
33.5;1445;1586;1510;51.15
34;1470;1612;1535;51.15
34.5;1495;1639;1561;51.15
35;1519;1666;1587;51.15
35.5;1544;1694;1612;60.71
36;1576;1722;1642;60.71
36.5;1607;1751;1673;60.71
37;1639;1780;1703;60.71
37.5;1671;1809;1734;60.71
38;1702;1837;1764;60.71
38.5;1733;1866;1794;60.71
39;1764;1895;1825;60.71
