depth;min95%;max95%;best;accrate
0;-71;-67;-69;64.99
0.5;-38;-34;-36;27.96
1;-24;-21;-23;15.91
1.5;-16;-13;-15;15.44
2;-8;-5;-7;17.8
2.5;1;3;2;20.17
3;11;14;12;19.59
3.5;20;23;22;14.26
4;28;31;29;11.52
4.5;33;36;35;11.53
5;39;42;41;10.3
5.5;44;48;46;8.77
6;49;52;50;8.77
6.5;52;56;55;9.25
7;58;61;59;9.25
7.5;62;66;64;9.87
8;67;70;69;9.87
8.5;72;76;74;16.09
9;80;83;82;16.09
9.5;88;92;90;144.76
10;158;167;162;144.76
10.5;228;244;235;144.76
11;297;321;307;144.76
11.5;367;397;379;144.76
12;436;474;452;144.76
12.5;506;551;524;144.76
13;575;628;596;144.76
13.5;644;705;669;144.76
14;714;782;741;144.76
14.5;783;858;814;144.76
15;853;935;886;144.76
15.5;922;1012;958;144.76
16;991;1088;1031;144.76
16.5;1061;1165;1103;144.76
17;1130;1242;1175;144.76
17.5;1200;1318;1248;144.76
18;1269;1395;1320;144.76
18.5;1338;1472;1393;144.76
19;1408;1549;1465;144.76
19.5;1477;1626;1537;144.76
20;1547;1702;1610;144.76
20.5;1616;1779;1682;75.66
21;1655;1815;1720;75.66
21.5;1693;1850;1758;75.66
22;1731;1886;1796;75.66
22.5;1768;1923;1833;75.66
23;1806;1960;1871;75.66
23.5;1844;1998;1909;75.66
24;1882;2032;1947;75.66
24.5;1920;2069;1985;75.66
25;1957;2106;2023;75.66
25.5;1995;2143;2060;75.66
26;2033;2180;2098;75.66
26.5;2071;2216;2136;75.66
27;2109;2252;2174;75.66
27.5;2146;2288;2212;75.66
28;2184;2328;2250;75.66
28.5;2221;2365;2287;75.66
29;2258;2402;2325;75.66
29.5;2296;2440;2363;75.66
30;2332;2480;2401;75.66
30.5;2369;2519;2439;75.66
31;2407;2558;2477;75.66
31.5;2445;2596;2514;75.66
32;2482;2632;2552;75.66
32.5;2519;2670;2590;75.66
33;2556;2710;2628;75.66
33.5;2593;2750;2666;75.66
34;2629;2787;2704;75.66
34.5;2666;2825;2741;75.66
35;2704;2865;2779;75.66
35.5;2741;2904;2817;75.66
36;2778;2944;2855;75.66
36.5;2817;2984;2893;75.66
37;2852;3024;2931;75.66
37.5;2888;3064;2968;75.66
38;2923;3104;3006;75.66
38.5;2959;3144;3044;75.66
39;2995;3183;3082;75.66
39.5;3031;3222;3120;75.66
40;3068;3264;3157;75.66
40.5;3104;3304;3195;75.66
41;3140;3344;3233;75.66
41.5;3176;3384;3271;75.66
42;3211;3424;3309;75.66
42.5;3246;3464;3347;75.66
43;3281;3504;3384;75.66
43.5;3316;3544;3422;75.66
44;3352;3584;3460;75.66
44.5;3388;3624;3498;75.66
45;3424;3664;3536;75.66
45.5;3460;3704;3574;75.66
46;3496;3743;3611;75.66
46.5;3531;3782;3649;75.66
47;3566;3822;3687;75.66
47.5;3602;3862;3725;75.66
48;3638;3902;3763;75.66
48.5;3671;3942;3801;75.66
49;3705;3982;3838;75.66
49.5;3741;4022;3876;75.66
50;3777;4063;3914;75.66
50.5;3813;4103;3952;75.66
51;3849;4143;3990;75.66
51.5;3884;4183;4028;75.66
52;3919;4224;4065;75.66
52.5;3954;4265;4103;75.66
53;3990;4305;4141;75.66
53.5;4027;4346;4179;63.61
54;4060;4376;4211;63.61
54.5;4092;4406;4243;63.61
55;4125;4436;4274;63.61
55.5;4157;4466;4306;63.61
56;4190;4496;4338;63.61
56.5;4223;4526;4370;63.61
57;4256;4556;4402;63.61
57.5;4290;4587;4433;63.61
58;4324;4617;4465;63.61
58.5;4357;4647;4497;63.61
59;4390;4677;4529;63.61
59.5;4423;4707;4561;63.61
60;4457;4737;4592;63.61
60.5;4490;4767;4624;63.61
61;4524;4798;4656;63.61
61.5;4557;4828;4688;63.61
62;4591;4859;4720;63.61
62.5;4624;4890;4751;63.61
63;4657;4920;4783;63.61
63.5;4691;4950;4815;63.61
64;4724;4980;4847;63.61
64.5;4756;5011;4879;63.61
